Date - Thu, 01 Jun 2023 12:09:29 GMT | Method - GET | URL - / | Status - 200
Date - Thu, 01 Jun 2023 12:09:29 GMT | Method - GET | URL - /stylesheets/style.css | Status - 304
Date - Wed, 07 Jun 2023 01:42:47 GMT | Method - GET | URL - / | Status - 200
Date - Wed, 07 Jun 2023 01:42:47 GMT | Method - GET | URL - /stylesheets/style.css | Status - 304
Date - Wed, 07 Jun 2023 01:43:30 GMT | Method - GET | URL - / | Status - 200
Date - Wed, 07 Jun 2023 01:43:30 GMT | Method - GET | URL - /stylesheets/style.css | Status - 304
Date - Wed, 07 Jun 2023 01:46:39 GMT | Method - GET | URL - /qwerty | Status - 404
Date - Wed, 07 Jun 2023 02:04:29 GMT | Method - GET | URL - /qwerty | Status - 404
Date - Wed, 07 Jun 2023 02:04:33 GMT | Method - GET | URL - /qwerty | Status - 404
Date - Wed, 07 Jun 2023 02:06:23 GMT | Method - GET | URL - /qwerty | Status - 404
Date - Wed, 07 Jun 2023 02:06:23 GMT | Method - GET | URL - /stylesheets/style.css | Status - 304
Date - Wed, 07 Jun 2023 02:06:23 GMT | Method - GET | URL - /images/404.png | Status - 304
Date - Wed, 07 Jun 2023 02:07:02 GMT | Method - GET | URL - /forbidden | Status - 403
Date - Wed, 07 Jun 2023 02:07:02 GMT | Method - GET | URL - /stylesheets/style.css | Status - 304
Date - Wed, 07 Jun 2023 02:25:24 GMT | Method - GET | URL - / | Status - 200
Date - Wed, 07 Jun 2023 02:25:24 GMT | Method - GET | URL - /stylesheets/style.css | Status - 200
